type,neighborhood,address,price,beds,baths,sqft,url
Co-op,Downtown Brooklyn,215 Adams Street #6D,"$2,400",Studio,1 Bath,460,https://streeteasy.com/building/215-adams-street-brooklyn/6d?featured=1
Co-op,Hamilton Heights,345 West 145th Street #7B4,"$2,400",Studio,1 Bath,NA,https://streeteasy.com/building/345-west-145-street-new_york/7b4?featured=1
Co-op,Sunnyside,43-01 46th Street #6G,"$2,000",Studio,1 Bath,500,https://streeteasy.com/building/43_01-46-street-sunnyside/6g
Rental Unit,Fort Greene,58 Vanderbilt Avenue #1E,"$3,000",Studio,1 Bath,400,https://streeteasy.com/building/58-vanderbilt-avenue-brooklyn/1e
Rental Unit,Sunnyside,43-26 49th Street #C2,"$1,750",Studio,1 Bath,NA,https://streeteasy.com/building/43_26-49-street-sunnyside/c2
Co-op,Sunnyside,43-01 46th Street #1A,"$2,400",1 Bed,1 Bath,850,https://streeteasy.com/building/43_01-46-street-sunnyside/1a
Co-op,Kensington,260 Ocean Parkway #3D,"$2,300",1 Bed,1 Bath,650,https://streeteasy.com/building/260-ocean-parkway-brooklyn/3d
Co-op,Forest Hills,63-61 Yellowston Boulevard #1,"$1,650",Studio,1 Bath,NA,https://streeteasy.com/building/63_61-yellowstone-blvd-forest_hills/1
Rental Unit,Forest Hills,103-19 68 Road #D,"$2,299",1 Bed,1 Bath,900,https://streeteasy.com/building/103_19-68-road-forest_hills/d
Rental Unit,Bath Beach,8635 21st Avenue #4J,"$1,675",Studio,1 Bath,500,https://streeteasy.com/building/8633-21-avenue-brooklyn/4j
Rental Unit,Woodside,60-05 44th Avenue #1,"$1,575",Studio,1 Bath,500,https://streeteasy.com/building/60_05-44-avenue-woodside/1
Rental Unit,Crown Heights,1259 Bergan Street #3F,"$2,300",Studio,1 Bath,NA,https://streeteasy.com/building/1259-bergen-street-brooklyn/3f
Co-op,Kew Gardens,45 Kew Garden Road #6K,"$2,300",1 Bed,1 Bath,1,https://streeteasy.com/building/45-kew-gardens-road-kew_gardens/rental/4385293
Rental Unit,Woodside,46-09 69th Street #209,"$2,700",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/209?featured=1
Rental Unit,Woodside,46-09 69th Street #211,"$2,850",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/211?featured=1
Co-op,Murray Hill,314 East 41st Street #1501A,"$2,150",Studio,1 Bath,NA,https://streeteasy.com/building/314-east-41-street-new_york/1501a
House,East Flushing,190-20 37th Avenue #1,"$2,350",1 Bed,1 Bath,675,https://streeteasy.com/building/190_20-37-avenue-flushing/1fl
Rental Unit,Astoria,31-05 21st Street #5C,"$2,800",1 Bed,1 Bath,NA,https://streeteasy.com/building/allure-astoria/5c
Rental Unit,Astoria,30-06 30 Drive #1F,"$2,399",1 Bed,1 Bath,750,https://streeteasy.com/building/30_06-30-drive-astoria/1f
Rental Unit,Long Island City,27-08 39th Avenue #2G,"$2,200",1 Bed,1 Bath,679,https://streeteasy.com/building/27_08-39-avenue-long_island_city/2g
